f64_no_exceptions,f64_one_exception_per_vector,f64_all_nan,f64_nan_inf_negzero,f64_constant,f64_different_ef_per_vector,f64_with_nulls,f32_no_exceptions,f32_one_exception_per_vector,f32_all_nan,f32_nan_inf_negzero,f32_constant,f32_different_ef_per_vector,f32_with_nulls
0.6,0.6,NaN,6.0,42.0,0.6,,0.6,0.6,NaN,6.0,42.0,0.6,
0.61,0.61,NaN,6.1,42.0,0.61,0.61,0.61,0.61,NaN,6.1,42.0,0.61,0.61
0.62,0.62,NaN,6.2,42.0,0.62,0.62,0.62,0.62,NaN,6.2,42.0,0.62,0.62
0.63,0.63,NaN,6.3,42.0,0.63,,0.63,0.63,NaN,6.3,42.0,0.63,
0.64,0.64,NaN,6.4,42.0,0.64,0.64,0.64,0.64,NaN,6.4,42.0,0.64,0.64
0.65,0.65,NaN,6.5,42.0,0.65,0.65,0.65,0.65,NaN,6.5,42.0,0.65,0.65
0.66,0.66,NaN,6.6,42.0,0.66,,0.66,0.66,NaN,6.6,42.0,0.66,
0.67,0.67,NaN,6.7,42.0,0.67,0.67,0.67,0.67,NaN,6.7,42.0,0.67,0.67
0.68,0.68,NaN,6.8,42.0,0.68,0.68,0.68,0.68,NaN,6.8,42.0,0.68,0.68
0.69,0.69,NaN,6.9,42.0,0.69,,0.69,0.69,NaN,6.9,42.0,0.69,
0.7,0.7,NaN,7.0,42.0,0.7,0.7,0.7,0.7,NaN,7.0,42.0,0.7,0.7
0.71,0.71,NaN,7.1,42.0,0.71,0.71,0.71,0.71,NaN,7.1,42.0,0.71,0.71
0.72,0.72,NaN,7.2,42.0,0.72,,0.72,0.72,NaN,7.2,42.0,0.72,
0.73,0.73,NaN,7.3,42.0,0.73,0.73,0.73,0.73,NaN,7.3,42.0,0.73,0.73
0.74,0.74,NaN,7.4,42.0,0.74,0.74,0.74,0.74,NaN,7.4,42.0,0.74,0.74
0.75,0.75,NaN,7.5,42.0,0.75,,0.75,0.75,NaN,7.5,42.0,0.75,
0.76,0.76,NaN,7.6,42.0,0.76,0.76,0.76,0.76,NaN,7.6,42.0,0.76,0.76
0.77,0.77,NaN,7.7,42.0,0.77,0.77,0.77,0.77,NaN,7.7,42.0,0.77,0.77
0.78,0.78,NaN,7.8,42.0,0.78,,0.78,0.78,NaN,7.8,42.0,0.78,
0.79,0.79,NaN,7.9,42.0,0.79,0.79,0.79,0.79,NaN,7.9,42.0,0.79,0.79
0.8,0.8,NaN,8.0,42.0,0.8,0.8,0.8,0.8,NaN,8.0,42.0,0.8,0.8
0.81,0.81,NaN,8.1,42.0,0.81,,0.81,0.81,NaN,8.1,42.0,0.81,
0.82,0.82,NaN,8.2,42.0,0.82,0.82,0.82,0.82,NaN,8.2,42.0,0.82,0.82
0.83,0.83,NaN,8.3,42.0,0.83,0.83,0.83,0.83,NaN,8.3,42.0,0.83,0.83
0.84,0.84,NaN,8.4,42.0,0.84,,0.84,0.84,NaN,8.4,42.0,0.84,
0.85,0.85,NaN,8.5,42.0,0.85,0.85,0.85,0.85,NaN,8.5,42.0,0.85,0.85
0.86,0.86,NaN,8.6,42.0,0.86,0.86,0.86,0.86,NaN,8.6,42.0,0.86,0.86
0.87,0.87,NaN,8.7,42.0,0.87,,0.87,0.87,NaN,8.7,42.0,0.87,
0.88,0.88,NaN,8.8,42.0,0.88,0.88,0.88,0.88,NaN,8.8,42.0,0.88,0.88
0.89,0.89,NaN,8.9,42.0,0.89,0.89,0.89,0.89,NaN,8.9,42.0,0.89,0.89
0.9,0.9,NaN,9.0,42.0,0.9,,0.9,0.9,NaN,9.0,42.0,0.9,
0.91,0.91,NaN,9.1,42.0,0.91,0.91,0.91,0.91,NaN,9.1,42.0,0.91,0.91
0.92,0.92,NaN,9.2,42.0,0.92,0.92,0.92,0.92,NaN,9.2,42.0,0.92,0.92
0.93,0.93,NaN,9.3,42.0,0.93,,0.93,0.93,NaN,9.3,42.0,0.93,
0.94,0.94,NaN,9.4,42.0,0.94,0.94,0.94,0.94,NaN,9.4,42.0,0.94,0.94
0.95,0.95,NaN,9.5,42.0,0.95,0.95,0.95,0.95,NaN,9.5,42.0,0.95,0.95
0.96,0.96,NaN,9.6,42.0,0.96,,0.96,0.96,NaN,9.6,42.0,0.96,
0.97,0.97,NaN,9.7,42.0,0.97,0.97,0.97,0.97,NaN,9.7,42.0,0.97,0.97
0.98,0.98,NaN,9.8,42.0,0.98,0.98,0.98,0.98,NaN,9.8,42.0,0.98,0.98
0.99,0.99,NaN,9.9,42.0,0.99,,0.99,0.99,NaN,9.9,42.0,0.99,
1.0,NaN,NaN,0.0,42.0,0.0,0.0,1.0,NaN,NaN,0.0,42.0,0.0,0.0
1.01,1.01,NaN,0.1,42.0,0.01,0.01,1.01,1.01,NaN,0.1,42.0,0.01,0.01
1.02,1.02,NaN,0.2,42.0,0.02,,1.02,1.02,NaN,0.2,42.0,0.02,
1.03,1.03,NaN,0.3,42.0,0.03,0.03,1.03,1.03,NaN,0.3,42.0,0.03,0.03
1.04,1.04,NaN,0.4,42.0,0.04,0.04,1.04,1.04,NaN,0.4,42.0,0.04,0.04
1.05,1.05,NaN,0.5,42.0,0.05,,1.05,1.05,NaN,0.5,42.0,0.05,
1.06,1.06,NaN,0.6,42.0,0.06,0.06,1.06,1.06,NaN,0.6,42.0,0.06,0.06
1.07,1.07,NaN,0.7,42.0,0.07,0.07,1.07,1.07,NaN,0.7,42.0,0.07,0.07
1.08,1.08,NaN,0.8,42.0,0.08,,1.08,1.08,NaN,0.8,42.0,0.08,
1.09,1.09,NaN,0.9,42.0,0.09,0.09,1.09,1.09,NaN,0.9,42.0,0.09,0.09
1.1,1.1,NaN,1.0,42.0,0.1,0.1,1.1,1.1,NaN,1.0,42.0,0.1,0.1
1.11,1.11,NaN,1.1,42.0,0.11,,1.11,1.11,NaN,1.1,42.0,0.11,
1.12,1.12,NaN,1.2,42.0,0.12,0.12,1.12,1.12,NaN,1.2,42.0,0.12,0.12
1.13,1.13,NaN,1.3,42.0,0.13,0.13,1.13,1.13,NaN,1.3,42.0,0.13,0.13
1.14,1.14,NaN,1.4,42.0,0.14,,1.14,1.14,NaN,1.4,42.0,0.14,
1.15,1.15,NaN,1.5,42.0,0.15,0.15,1.15,1.15,NaN,1.5,42.0,0.15,0.15
1.16,1.16,NaN,1.6,42.0,0.16,0.16,1.16,1.16,NaN,1.6,42.0,0.16,0.16
1.17,1.17,NaN,1.7,42.0,0.17,,1.17,1.17,NaN,1.7,42.0,0.17,
1.18,1.18,NaN,1.8,42.0,0.18,0.18,1.18,1.18,NaN,1.8,42.0,0.18,0.18
1.19,1.19,NaN,1.9,42.0,0.19,0.19,1.19,1.19,NaN,1.9,42.0,0.19,0.19
1.2,1.2,NaN,2.0,42.0,0.2,,1.2,1.2,NaN,2.0,42.0,0.2,
1.21,1.21,NaN,2.1,42.0,0.21,0.21,1.21,1.21,NaN,2.1,42.0,0.21,0.21
1.22,1.22,NaN,2.2,42.0,0.22,0.22,1.22,1.22,NaN,2.2,42.0,0.22,0.22
1.23,1.23,NaN,2.3,42.0,0.23,,1.23,1.23,NaN,2.3,42.0,0.23,
1.24,1.24,NaN,2.4,42.0,0.24,0.24,1.24,1.24,NaN,2.4,42.0,0.24,0.24
1.25,1.25,NaN,2.5,42.0,0.25,0.25,1.25,1.25,NaN,2.5,42.0,0.25,0.25
1.26,1.26,NaN,2.6,42.0,0.26,,1.26,1.26,NaN,2.6,42.0,0.26,
1.27,1.27,NaN,2.7,42.0,0.27,0.27,1.27,1.27,NaN,2.7,42.0,0.27,0.27
1.28,1.28,NaN,2.8,42.0,0.28,0.28,1.28,1.28,NaN,2.8,42.0,0.28,0.28
1.29,1.29,NaN,2.9,42.0,0.29,,1.29,1.29,NaN,2.9,42.0,0.29,
1.3,1.3,NaN,3.0,42.0,0.3,0.3,1.3,1.3,NaN,3.0,42.0,0.3,0.3
1.31,1.31,NaN,3.1,42.0,0.31,0.31,1.31,1.31,NaN,3.1,42.0,0.31,0.31
1.32,1.32,NaN,3.2,42.0,0.32,,1.32,1.32,NaN,3.2,42.0,0.32,
1.33,1.33,NaN,3.3,42.0,0.33,0.33,1.33,1.33,NaN,3.3,42.0,0.33,0.33
1.34,1.34,NaN,3.4,42.0,0.34,0.34,1.34,1.34,NaN,3.4,42.0,0.34,0.34
1.35,1.35,NaN,3.5,42.0,0.35,,1.35,1.35,NaN,3.5,42.0,0.35,
1.36,1.36,NaN,3.6,42.0,0.36,0.36,1.36,1.36,NaN,3.6,42.0,0.36,0.36
1.37,1.37,NaN,3.7,42.0,0.37,0.37,1.37,1.37,NaN,3.7,42.0,0.37,0.37
1.38,1.38,NaN,3.8,42.0,0.38,,1.38,1.38,NaN,3.8,42.0,0.38,
1.39,1.39,NaN,3.9,42.0,0.39,0.39,1.39,1.39,NaN,3.9,42.0,0.39,0.39
1.4,1.4,NaN,4.0,42.0,0.4,0.4,1.4,1.4,NaN,4.0,42.0,0.4,0.4
1.41,1.41,NaN,4.1,42.0,0.41,,1.41,1.41,NaN,4.1,42.0,0.41,
1.42,1.42,NaN,4.2,42.0,0.42,0.42,1.42,1.42,NaN,4.2,42.0,0.42,0.42
1.43,1.43,NaN,4.3,42.0,0.43,0.43,1.43,1.43,NaN,4.3,42.0,0.43,0.43
1.44,1.44,NaN,4.4,42.0,0.44,,1.44,1.44,NaN,4.4,42.0,0.44,
1.45,1.45,NaN,4.5,42.0,0.45,0.45,1.45,1.45,NaN,4.5,42.0,0.45,0.45
1.46,1.46,NaN,4.6,42.0,0.46,0.46,1.46,1.46,NaN,4.6,42.0,0.46,0.46
1.47,1.47,NaN,4.7,42.0,0.47,,1.47,1.47,NaN,4.7,42.0,0.47,
1.48,1.48,NaN,4.8,42.0,0.48,0.48,1.48,1.48,NaN,4.8,42.0,0.48,0.48
1.49,1.49,NaN,4.9,42.0,0.49,0.49,1.49,1.49,NaN,4.9,42.0,0.49,0.49
1.5,1.5,NaN,5.0,42.0,0.5,,1.5,1.5,NaN,5.0,42.0,0.5,
1.51,1.51,NaN,5.1,42.0,0.51,0.51,1.51,1.51,NaN,5.1,42.0,0.51,0.51
1.52,1.52,NaN,5.2,42.0,0.52,0.52,1.52,1.52,NaN,5.2,42.0,0.52,0.52
1.53,1.53,NaN,5.3,42.0,0.53,,1.53,1.53,NaN,5.3,42.0,0.53,
1.54,1.54,NaN,5.4,42.0,0.54,0.54,1.54,1.54,NaN,5.4,42.0,0.54,0.54
1.55,1.55,NaN,5.5,42.0,0.55,0.55,1.55,1.55,NaN,5.5,42.0,0.55,0.55
1.56,1.56,NaN,5.6,42.0,0.56,,1.56,1.56,NaN,5.6,42.0,0.56,
1.57,1.57,NaN,5.7,42.0,0.57,0.57,1.57,1.57,NaN,5.7,42.0,0.57,0.57
1.58,1.58,NaN,5.8,42.0,0.58,0.58,1.58,1.58,NaN,5.8,42.0,0.58,0.58
1.59,1.59,NaN,5.9,42.0,0.59,,1.59,1.59,NaN,5.9,42.0,0.59,
1.6,1.6,NaN,6.0,42.0,0.6,0.6,1.6,1.6,NaN,6.0,42.0,0.6,0.6
1.61,1.61,NaN,6.1,42.0,0.61,0.61,1.61,1.61,NaN,6.1,42.0,0.61,0.61
1.62,1.62,NaN,6.2,42.0,0.62,,1.62,1.62,NaN,6.2,42.0,0.62,
1.63,1.63,NaN,6.3,42.0,0.63,0.63,1.63,1.63,NaN,6.3,42.0,0.63,0.63
1.64,1.64,NaN,6.4,42.0,0.64,0.64,1.64,1.64,NaN,6.4,42.0,0.64,0.64
1.65,1.65,NaN,6.5,42.0,0.65,,1.65,1.65,NaN,6.5,42.0,0.65,
1.66,1.66,NaN,6.6,42.0,0.66,0.66,1.66,1.66,NaN,6.6,42.0,0.66,0.66
1.67,1.67,NaN,6.7,42.0,0.67,0.67,1.67,1.67,NaN,6.7,42.0,0.67,0.67
1.68,1.68,NaN,6.8,42.0,0.68,,1.68,1.68,NaN,6.8,42.0,0.68,
1.69,1.69,NaN,6.9,42.0,0.69,0.69,1.69,1.69,NaN,6.9,42.0,0.69,0.69
1.7,1.7,NaN,7.0,42.0,0.7,0.7,1.7,1.7,NaN,7.0,42.0,0.7,0.7
1.71,1.71,NaN,7.1,42.0,0.71,,1.71,1.71,NaN,7.1,42.0,0.71,
1.72,1.72,NaN,7.2,42.0,0.72,0.72,1.72,1.72,NaN,7.2,42.0,0.72,0.72
1.73,1.73,NaN,7.3,42.0,0.73,0.73,1.73,1.73,NaN,7.3,42.0,0.73,0.73
1.74,1.74,NaN,7.4,42.0,0.74,,1.74,1.74,NaN,7.4,42.0,0.74,
1.75,1.75,NaN,7.5,42.0,0.75,0.75,1.75,1.75,NaN,7.5,42.0,0.75,0.75
1.76,1.76,NaN,7.6,42.0,0.76,0.76,1.76,1.76,NaN,7.6,42.0,0.76,0.76
1.77,1.77,NaN,7.7,42.0,0.77,,1.77,1.77,NaN,7.7,42.0,0.77,
1.78,1.78,NaN,7.8,42.0,0.78,0.78,1.78,1.78,NaN,7.8,42.0,0.78,0.78
1.79,1.79,NaN,7.9,42.0,0.79,0.79,1.79,1.79,NaN,7.9,42.0,0.79,0.79
1.8,1.8,NaN,8.0,42.0,0.8,,1.8,1.8,NaN,8.0,42.0,0.8,
1.81,1.81,NaN,8.1,42.0,0.81,0.81,1.81,1.81,NaN,8.1,42.0,0.81,0.81
1.82,1.82,NaN,8.2,42.0,0.82,0.82,1.82,1.82,NaN,8.2,42.0,0.82,0.82
1.83,1.83,NaN,8.3,42.0,0.83,,1.83,1.83,NaN,8.3,42.0,0.83,
1.84,1.84,NaN,8.4,42.0,0.84,0.84,1.84,1.84,NaN,8.4,42.0,0.84,0.84
1.85,1.85,NaN,8.5,42.0,0.85,0.85,1.85,1.85,NaN,8.5,42.0,0.85,0.85
1.86,1.86,NaN,8.6,42.0,0.86,,1.86,1.86,NaN,8.6,42.0,0.86,
1.87,1.87,NaN,8.7,42.0,0.87,0.87,1.87,1.87,NaN,8.7,42.0,0.87,0.87
1.88,1.88,NaN,8.8,42.0,0.88,0.88,1.88,1.88,NaN,8.8,42.0,0.88,0.88
1.89,1.89,NaN,8.9,42.0,0.89,,1.89,1.89,NaN,8.9,42.0,0.89,
1.9,1.9,NaN,9.0,42.0,0.9,0.9,1.9,1.9,NaN,9.0,42.0,0.9,0.9
1.91,1.91,NaN,9.1,42.0,0.91,0.91,1.91,1.91,NaN,9.1,42.0,0.91,0.91
1.92,1.92,NaN,9.2,42.0,0.92,,1.92,1.92,NaN,9.2,42.0,0.92,
1.93,1.93,NaN,9.3,42.0,0.93,0.93,1.93,1.93,NaN,9.3,42.0,0.93,0.93
1.94,1.94,NaN,9.4,42.0,0.94,0.94,1.94,1.94,NaN,9.4,42.0,0.94,0.94
1.95,1.95,NaN,9.5,42.0,0.95,,1.95,1.95,NaN,9.5,42.0,0.95,
1.96,1.96,NaN,9.6,42.0,0.96,0.96,1.96,1.96,NaN,9.6,42.0,0.96,0.96
1.97,1.97,NaN,9.7,42.0,0.97,0.97,1.97,1.97,NaN,9.7,42.0,0.97,0.97
1.98,1.98,NaN,9.8,42.0,0.98,,1.98,1.98,NaN,9.8,42.0,0.98,
1.99,1.99,NaN,9.9,42.0,0.99,0.99,1.99,1.99,NaN,9.9,42.0,0.99,0.99
2.0,2.0,NaN,0.0,42.0,0.0,0.0,2.0,2.0,NaN,0.0,42.0,0.0,0.0
2.01,2.01,NaN,0.1,42.0,0.01,,2.01,2.01,NaN,0.1,42.0,0.01,
2.02,2.02,NaN,0.2,42.0,0.02,0.02,2.02,2.02,NaN,0.2,42.0,0.02,0.02
2.03,2.03,NaN,0.3,42.0,0.03,0.03,2.03,2.03,NaN,0.3,42.0,0.03,0.03
2.04,2.04,NaN,0.4,42.0,0.04,,2.04,2.04,NaN,0.4,42.0,0.04,
2.05,2.05,NaN,0.5,42.0,0.05,0.05,2.05,2.05,NaN,0.5,42.0,0.05,0.05
2.06,2.06,NaN,0.6,42.0,0.06,0.06,2.06,2.06,NaN,0.6,42.0,0.06,0.06
2.07,2.07,NaN,0.7,42.0,0.07,,2.07,2.07,NaN,0.7,42.0,0.07,
2.08,2.08,NaN,0.8,42.0,0.08,0.08,2.08,2.08,NaN,0.8,42.0,0.08,0.08
2.09,2.09,NaN,0.9,42.0,0.09,0.09,2.09,2.09,NaN,0.9,42.0,0.09,0.09
2.1,2.1,NaN,1.0,42.0,0.1,,2.1,2.1,NaN,1.0,42.0,0.1,
2.11,2.11,NaN,1.1,42.0,0.11,0.11,2.11,2.11,NaN,1.1,42.0,0.11,0.11
2.12,2.12,NaN,1.2,42.0,0.12,0.12,2.12,2.12,NaN,1.2,42.0,0.12,0.12
2.13,2.13,NaN,1.3,42.0,0.13,,2.13,2.13,NaN,1.3,42.0,0.13,
2.14,2.14,NaN,1.4,42.0,0.14,0.14,2.14,2.14,NaN,1.4,42.0,0.14,0.14
2.15,2.15,NaN,1.5,42.0,0.15,0.15,2.15,2.15,NaN,1.5,42.0,0.15,0.15
2.16,2.16,NaN,1.6,42.0,0.16,,2.16,2.16,NaN,1.6,42.0,0.16,
2.17,2.17,NaN,1.7,42.0,0.17,0.17,2.17,2.17,NaN,1.7,42.0,0.17,0.17
2.18,2.18,NaN,1.8,42.0,0.18,0.18,2.18,2.18,NaN,1.8,42.0,0.18,0.18
2.19,2.19,NaN,1.9,42.0,0.19,,2.19,2.19,NaN,1.9,42.0,0.19,
2.2,2.2,NaN,2.0,42.0,0.2,0.2,2.2,2.2,NaN,2.0,42.0,0.2,0.2
2.21,2.21,NaN,2.1,42.0,0.21,0.21,2.21,2.21,NaN,2.1,42.0,0.21,0.21
2.22,2.22,NaN,2.2,42.0,0.22,,2.22,2.22,NaN,2.2,42.0,0.22,
2.23,2.23,NaN,2.3,42.0,0.23,0.23,2.23,2.23,NaN,2.3,42.0,0.23,0.23
2.24,2.24,NaN,2.4,42.0,0.24,0.24,2.24,2.24,NaN,2.4,42.0,0.24,0.24
2.25,2.25,NaN,2.5,42.0,0.25,,2.25,2.25,NaN,2.5,42.0,0.25,
2.26,2.26,NaN,2.6,42.0,0.26,0.26,2.26,2.26,NaN,2.6,42.0,0.26,0.26
2.27,2.27,NaN,2.7,42.0,0.27,0.27,2.27,2.27,NaN,2.7,42.0,0.27,0.27
2.28,2.28,NaN,2.8,42.0,0.28,,2.28,2.28,NaN,2.8,42.0,0.28,
2.29,2.29,NaN,2.9,42.0,0.29,0.29,2.29,2.29,NaN,2.9,42.0,0.29,0.29
2.3,2.3,NaN,3.0,42.0,0.3,0.3,2.3,2.3,NaN,3.0,42.0,0.3,0.3
2.31,2.31,NaN,3.1,42.0,0.31,,2.31,2.31,NaN,3.1,42.0,0.31,
2.32,2.32,NaN,3.2,42.0,0.32,0.32,2.32,2.32,NaN,3.2,42.0,0.32,0.32
2.33,2.33,NaN,3.3,42.0,0.33,0.33,2.33,2.33,NaN,3.3,42.0,0.33,0.33
2.34,2.34,NaN,3.4,42.0,0.34,,2.34,2.34,NaN,3.4,42.0,0.34,
2.35,2.35,NaN,3.5,42.0,0.35,0.35,2.35,2.35,NaN,3.5,42.0,0.35,0.35
2.36,2.36,NaN,3.6,42.0,0.36,0.36,2.36,2.36,NaN,3.6,42.0,0.36,0.36
2.37,2.37,NaN,3.7,42.0,0.37,,2.37,2.37,NaN,3.7,42.0,0.37,
2.38,2.38,NaN,3.8,42.0,0.38,0.38,2.38,2.38,NaN,3.8,42.0,0.38,0.38
2.39,2.39,NaN,3.9,42.0,0.39,0.39,2.39,2.39,NaN,3.9,42.0,0.39,0.39
2.4,2.4,NaN,4.0,42.0,0.4,,2.4,2.4,NaN,4.0,42.0,0.4,
2.41,2.41,NaN,4.1,42.0,0.41,0.41,2.41,2.41,NaN,4.1,42.0,0.41,0.41
2.42,2.42,NaN,4.2,42.0,0.42,0.42,2.42,2.42,NaN,4.2,42.0,0.42,0.42
2.43,2.43,NaN,4.3,42.0,0.43,,2.43,2.43,NaN,4.3,42.0,0.43,
2.44,2.44,NaN,4.4,42.0,0.44,0.44,2.44,2.44,NaN,4.4,42.0,0.44,0.44
2.45,2.45,NaN,4.5,42.0,0.45,0.45,2.45,2.45,NaN,4.5,42.0,0.45,0.45
2.46,2.46,NaN,4.6,42.0,0.46,,2.46,2.46,NaN,4.6,42.0,0.46,
2.47,2.47,NaN,4.7,42.0,0.47,0.47,2.47,2.47,NaN,4.7,42.0,0.47,0.47
2.48,2.48,NaN,4.8,42.0,0.48,0.48,2.48,2.48,NaN,4.8,42.0,0.48,0.48
2.49,2.49,NaN,4.9,42.0,0.49,,2.49,2.49,NaN,4.9,42.0,0.49,
2.5,2.5,NaN,5.0,42.0,0.5,0.5,2.5,2.5,NaN,5.0,42.0,0.5,0.5
2.51,2.51,NaN,5.1,42.0,0.51,0.51,2.51,2.51,NaN,5.1,42.0,0.51,0.51
2.52,2.52,NaN,5.2,42.0,0.52,,2.52,2.52,NaN,5.2,42.0,0.52,
